name,category_b,category_s,location,link
영월캠프,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/37798027?entry=ple
버즈글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1698032362?entry=ple
베이스캠프,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1007270997?entry=ple
용골송어와캠핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/31499774?entry=ple
장호비치캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/35425196?entry=ple
홍천불멍멍글램핑캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1242958765?entry=ple
휴토피아글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/35452170?entry=ple
아빠의 캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/38252009?entry=ple
남이섬 마리나 카라반,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1572986443?entry=ple
힐링브릿지 캠프,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1930029566?entry=ple
캠프에이프릴,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/31791973?entry=ple
뇌운계곡글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1224500867?entry=ple
드위트리 글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1157806081?entry=ple
뉴욕카라반,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1001885650?entry=ple
더파크12 글램핑카라반,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/38259182?entry=ple
342camp,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1220067984?entry=ple
보또피아 카라반파크&펜션,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1664457709?entry=ple
타요카라반,캠핑장,펜션,강원도,https://m.place.naver.com/place/1147107715?entry=ple
철원 포레스트,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1850739359?entry=ple
스칼라캠프장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1447475118?entry=ple
보물섬 캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/38403622?entry=ple
하조대캠핑카,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1523532189?entry=ple
태백구문소힐링캠프,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1504374988?entry=ple
드루왈캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1279756513?entry=ple
세이지힐,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1187705069?entry=ple
우리두리글램핑,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1717121772?entry=ple
홍천태극캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1917796196?entry=ple
김삿갓계곡캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/1194351231?entry=ple
동강오토캠핑장,캠핑장,"캠핑,야영장",강원도,https://m.place.naver.com/place/20308037?entry=ple
