name,category_b,category_s,rating,review_cnt,review_url,location,address,img
럭키인디아,식당,인도음식,4.33,294.0,https://m.place.naver.com/restaurant/1856240279/review/visitor,홍대,서울 마포구 양화로7길 6-5 와와빌딩 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230126_88%2F1674715368672tTFqg_JPEG%2F1674714840529.jpg
코코넛박스 카페,식당,"카페,디저트",,2523.0,https://m.place.naver.com/restaurant/1932983871/review/visitor,홍대,서울 마포구 홍익로3길 20 지하 2층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231030_71%2F1698649029801nYUg6_JPEG%2F%25BC%25AD%25BF%25EF%25BF%25A9%25C7%25E0%2529_%25C0%25DA%25BB%25E7%25BB%25E7%25C1%25F8%25C1%25A6%25B0%25F82.jpg
콘부 연남,식당,이자카야,,154.0,https://m.place.naver.com/restaurant/1719059855/review/visitor,홍대,서울 마포구 동교로46길 42-20 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230715_159%2F1689408992107sYPqR_JPEG%2F6601D552-B9AB-44FF-BA91-0D1BBCA8DE1D.jpeg
하나라멘,식당,일본식라면,4.72,840.0,https://m.place.naver.com/restaurant/1267633713/review/visitor,홍대,서울 마포구 동교로38길 27-4 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230921_128%2F1695259078938rcGqM_JPEG%2FIMG_1439.jpeg
구워삶다 합정점,식당,돼지고기구이,4.58,918.0,https://m.place.naver.com/restaurant/37755606/review/visitor,홍대,서울 마포구 독막로3길 46,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221013_292%2F16656445560977rWrQ_PNG%2F20221013_155939.png
카쿠시타,식당,이자카야,4.53,851.0,https://m.place.naver.com/restaurant/1331305271/review/visitor,홍대,서울 마포구 동교로38길 33-15,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220525_201%2F1653484422583nP4HU_JPEG%2F1653456013139-4.jpg
대관령메밀막국수자연샤브샤브,식당,샤브샤브,4.36,1211.0,https://m.place.naver.com/restaurant/35085044/review/visitor,홍대,서울 마포구 동교로 197,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230614_123%2F1686708936797thUho_JPEG%2FKakaoTalk_20230612_004723092_24.jpg
무라,식당,일식당,4.42,1381.0,https://m.place.naver.com/restaurant/11707315/review/visitor,홍대,서울 마포구 와우산로15길 49 1층 MURA,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240108_14%2F1704703247159zgWiG_PNG%2F1000002072.png
이자카야 고도리,식당,이자카야,,55.0,https://m.place.naver.com/restaurant/1369811890/review/visitor,홍대,서울 마포구 양화로6길 73 1동 1층 3호,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20240109_240%2F1704806587628SYiuv_JPEG%2F20240109_222257.jpg
나성타코,식당,"멕시코,남미음식",4.73,1133.0,https://m.place.naver.com/restaurant/1185189754/review/visitor,홍대,서울 마포구 잔다리로2길 24 2층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230823_172%2F16927632450532uiFE_JPEG%2FIMG_0742.jpeg
