name,review_url,score
유니넷 내곡점,https://m.place.naver.com/place/1791199221/review/visitor,0.860336
STORY PC LAB,https://m.place.naver.com/place/1997402102/review/visitor,0.8625013
쓰리팝PC방,https://m.place.naver.com/place/1345812858/review/visitor,0.8659337
긱스타 한체대점,https://m.place.naver.com/place/1341245524/review/visitor,0.7285224
1프로PC라운지 방이점,https://m.place.naver.com/place/1505998773/review/visitor,0.85844636
아이넷폴리스존,https://m.place.naver.com/place/37943691/review/visitor,0.8825266
비원 건대2호점,https://m.place.naver.com/place/1289366662/review/visitor,0.6804674
아이클랜PC방 천호점,https://m.place.naver.com/place/11649430/review/visitor,0.3239967
플레이스,https://m.place.naver.com/place/1950068557/review/visitor,0.84319705
더스윙 블랙 대치점,https://m.place.naver.com/place/1867921640/review/visitor,0.93238294
레인지엑스 역삼,https://m.place.naver.com/place/1222411087/review/visitor,0.91297716
메이저골프아카데미 강남점,https://m.place.naver.com/place/1799103721/review/visitor,0.90847445
유디알멤버스 더 퍼스트 청담,https://m.place.naver.com/place/1230794713/review/visitor,0.9092449
제이앤드제이골프아카데미,https://m.place.naver.com/place/30827327/review/visitor,0.82979393
골프존파크 대치 삼성역,https://m.place.naver.com/place/1440004248/review/visitor,0.9285118
더스윙블랙 논현점,https://m.place.naver.com/place/1770721300/review/visitor,0.9669673
골프존아카데미 삼성점,https://m.place.naver.com/place/34078978/review/visitor,0.7688997
어틀런트골프 아카데미,https://m.place.naver.com/place/20326733/review/visitor,0.94126886
NIETA QED 골프아카데미 선릉,https://m.place.naver.com/place/1202148043/review/visitor,0.9457353
엘파르케 골프아카데미 양재센터,https://m.place.naver.com/place/1849419747/review/visitor,0.96169996
에이틴에이치 허석프로점,https://m.place.naver.com/place/1150822694/review/visitor,0.97354037
샤인골프스튜디오,https://m.place.naver.com/place/1828669454/review/visitor,0.9596863
GDR 케이원골프아카데미,https://m.place.naver.com/place/1590845270/review/visitor,0.97162175
클럽디 청담,https://m.place.naver.com/place/1618347105/review/visitor,0.8806555
골프존파크 청담ONE,https://m.place.naver.com/place/1829662628/review/visitor,0.8278443
골프존파크 압구정 스타스크린,https://m.place.naver.com/place/30847144/review/visitor,0.8666366
바른골프 삼성점,https://m.place.naver.com/place/1336335943/review/visitor,0.9180151
GDR아카데미 강남 센터필드점,https://m.place.naver.com/place/1205826847/review/visitor,0.9363017
골프존파크 대치선릉역점,https://m.place.naver.com/place/1506301942/review/visitor,0.913008
행복골프훈련소 역삼점,https://m.place.naver.com/place/1550608613/review/visitor,0.6343224
골프존파크 압구정 피팝스크린,https://m.place.naver.com/place/1764235385/review/visitor,0.9636234
에이틴에이치 코엑스점,https://m.place.naver.com/place/1856485639/review/visitor,0.9563502
청담스포피아,https://m.place.naver.com/place/11737706/review/visitor,0.83126897
골프존파크 논현 플레이그라운드,https://m.place.naver.com/place/1006040135/review/visitor,0.71085083
역삼골프,https://m.place.naver.com/place/1141693545/review/visitor,0.99085677
TGX 골프 아카데미 코엑스,https://m.place.naver.com/place/1134382468/review/visitor,0.99492407
골프존파크 역삼오렌지9,https://m.place.naver.com/place/1085399059/review/visitor,0.8275622
르까프골프연습장,https://m.place.naver.com/place/18574662/review/visitor,0.7607895
골프존파크 청담 청담CC,https://m.place.naver.com/place/1074628013/review/visitor,0.7508484
GT골프아카데미,https://m.place.naver.com/place/1609461278/review/visitor,0.9347191
프렌즈스크린 강남대치점,https://m.place.naver.com/place/1147062018/review/visitor,0.9218585
VATOS GOLF LAB,https://m.place.naver.com/place/1302407490/review/visitor,0.84128666
키움골프GDR아카데미 역삼점,https://m.place.naver.com/place/1915725051/review/visitor,0.9361109
김형근골프스쿨,https://m.place.naver.com/place/1724952019/review/visitor,0.8209437
리치스크린,https://m.place.naver.com/place/1451081552/review/visitor,0.9682976
톡스크린골프,https://m.place.naver.com/place/37673551/review/visitor,0.83742005
골프존파크 대치 윈스크린,https://m.place.naver.com/place/1391672659/review/visitor,0.9299982
강남골프레슨 제프스,https://m.place.naver.com/place/38643105/review/visitor,0.82373035
GDR골프아카데미 압구정점,https://m.place.naver.com/place/1195289126/review/visitor,0.90455884
골프존파크 역삼강남역점,https://m.place.naver.com/place/290723426/review/visitor,0.87235785
엘파르케골프아카데미 강남센터,https://m.place.naver.com/place/1048771191/review/visitor,0.963392
브라보퍼블릭스크린골프 서울도곡점,https://m.place.naver.com/place/1556900588/review/visitor,0.94816524
원골프아카데미 역삼,https://m.place.naver.com/place/1356882758/review/visitor,0.9564741
스윙파크 골프연습장,https://m.place.naver.com/place/11003112/review/visitor,0.82916296
