name,category_b,category_s,rating,review_cnt,review_url,location,address,img,isoutdoor
시그니처아레나PC방 역삼점,pc방,PC방,,12,https://m.place.naver.com/place/1486949549/review/visitor,강남,서울 강남구 논현로67길 6 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210322_26%2F16163698779743paHb_JPEG%2FEDM3VeaOpBXuT76XyrapKxP-.jpg,0
토끼와거북이PC방,pc방,PC방,,27,https://m.place.naver.com/place/1037272946/review/visitor,강남,서울 강남구 남부순환로 2732,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzExMDFfMjcg%2FMDAxNjk4Nzg4NDI4ODE5.1R744-wXYOzkRujoHTVWbDQWo3gqHaouYgDxrIKMFj0g.ZZtFcGC8W8bMEveLqmgcJUvAD4-5IoRBYaoIbIX9kcYg.JPEG.deokmin1%2F20231031%25A3%25DF170121.jpg,0
3POP PC방,pc방,PC방,4.58,55,https://m.place.naver.com/place/1064973634/review/visitor,강남,서울 강남구 논현로63길 19 2층 3POP PC방,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200724_196%2F1595576052719fUWF5_JPEG%2FWcRbXUugSTVIHOC4Mck9c4tv.jpg,0
PC베네 일원점,pc방,PC방,,23,https://m.place.naver.com/place/1642284677/review/visitor,강남,서울 강남구 일원로9길 58,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200130_24%2F1580391086835ubjeV_JPEG%2F2aizPoWE8DeK6hpdSAJ3S0sA.jpg,0
Portal PC,pc방,PC방,,269,https://m.place.naver.com/place/1650473644/review/visitor,강남,서울 서초구 서초대로77길 62 지하2층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220224_23%2F1645685343944uzeWB_JPEG%2FiOS_%25C0%25CC%25B9%25CC%25C1%25F6_%252825%2529.jpg,0
아이센스리그PC 신논현점,pc방,PC방,4.58,149,https://m.place.naver.com/place/1780051751/review/visitor,강남,서울 서초구 사평대로56길 14 3층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20221203_20%2F1670027763133FtlSu_JPEG%2F2FA6091D-54B0-432B-91FF-00E27DDAF4E5.jpeg,0
메가PC방,pc방,PC방,,12,https://m.place.naver.com/place/1597436302/review/visitor,강남,서울 광진구 아차산로 220 지층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230524_207%2F1684904132859kzOYI_JPEG%2FKakaoTalk_20230524_135504711.jpg,0
로지텍 G PC 카페,pc방,PC방,,15,https://m.place.naver.com/place/1106784034/review/visitor,강남,서울 송파구 석촌호수로 64 지하 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200805_211%2F1596608049361C39k3_JPEG%2Fs7YTKRNATWHaM2atDRqsnNaN.jpg,0
아이센스리그PC 송파방이점,pc방,PC방,4.47,77,https://m.place.naver.com/place/1653442387/review/visitor,강남,서울 송파구 올림픽로32길 20,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190721_63%2F1563712373198hs0f4_JPEG%2FKBjxyOjY3sf0FnCNV-Sn3hrQ.jpg,0
런2 피씨방,pc방,PC방,,71,https://m.place.naver.com/place/1271396881/review/visitor,강남,서울 송파구 올림픽로35가길 9 푸르지오월드마크상가 지하1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200602_147%2F1591103447439T2LsS_JPEG%2FulI1aGZn8rm8mMIXv8nuETJS.jpeg.jpg,0
웨스트 pc,pc방,PC방,,50,https://m.place.naver.com/place/1027140693/review/visitor,강남,서울 성동구 아차산로 91 4F west pc,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20220216_280%2F1644978640503mWQ3A_JPEG%2F3.jpg,0
솔라PC방,pc방,PC방,,27,https://m.place.naver.com/place/1388198923/review/visitor,강남,서울 성동구 성덕정길 106 4층 pc방,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20231028_233%2F16984766704018Buwz_JPEG%2FKakaoTalk_20231023_171627063_02.jpg,0
이스포츠센터 건대점,pc방,PC방,4.44,156,https://m.place.naver.com/place/1237412223/review/visitor,강남,"서울 광진구 능동로 123 3층,4층 이스포츠pc방",https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20230311_203%2F1678513724877vwOIL_PNG%2F%25C0%25CC%25BD%25BA%25C6%25F7%25C3%25F7_%25B7%25CE%25B0%25ED.PNG,0
포포PC방 건대점,pc방,PC방,4.22,82,https://m.place.naver.com/place/339128853/review/visitor,강남,서울 광진구 아차산로 229 한림타워 지하 1층,https://search.pstatic.net/common/?autoRotate=true&quality=95&type=w750&src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20170508_162%2F1494222693088t64yG_JPEG%2F186458548151705_2.jpeg,0
